Course Department Code,Course Number,Course Title,Course Status Code,Course Catalog Code,Catalog Abstract
AAS ,AAS 210     ,Music & Culture/African Diaspora  ,A,UG16,"This course is an introductory survey course which employs music as a lens to explore the history and culture of Africa and African America. Students learn about African musical genres on the continent and in the New World as well as the political, cultural, racial, class, and gender dynamics that shape and are shaped by them. More specifically, this course focuses of West Africa and the United States and provides students an introduction to (a) the political and social histories of both areas, (b) the musical characteristics of varied genres, (c) the social and political forces which shaped the evolution of the more significant musical genres, (d) the contemporary cultural and identity politics influencing and influenced by the music and (e) the connections between West African and African American music. (This course is intended to serve as the introductory course of the African and African American studies minor currently underdevelopment.)"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
AAS ,AAS 400     ,Directed Study  ,A,UG16,
AAS ,AAS 401     ,Independent Study  ,A,UG16,
AAS ,AAS 402     ,Research Participation  ,A,UG16,
AAS ,AAS 500     ,Senior Colloquium  ,A,UG16,
AES ,AES 110     ,Aerospace Studies-I  ,A,UG16,
AES ,AES 111     ,Aerospace Studies I  ,A,UG16,
AES ,AES 112     ,Leadership Lab I  ,A,UG16,
AES ,AES 120     ,Aerospace Studies-I  ,A,UG16,
AES ,AES 130     ,AFROTC Leadership Seminar  ,A,UG16,
AES ,AES 140     ,AFROTC Leadership Seminar  ,A,UG16,
AES ,AES 210     ,Aerospace Studies-II  ,A,UG16,
AES ,AES 220     ,Aerospace Studies-II  ,A,UG16,
AES ,AES 310     ,Aerospace Studies-III  ,A,UG16,
AES ,AES 311     ,Aerospace Studies III  ,A,UG16,
AES ,AES 320     ,Aerospace Studies-III  ,A,UG16,
AES ,AES 410     ,Aerospace Studies-IV  ,A,UG16,
AES ,AES 420     ,Aerospace Studies-IV  ,A,UG16,
AMS ,AMS 110     ,Introduction to the Army  ,A,UG16,
AMS ,AMS 120     ,Introduction to Leadership  ,A,UG16,
AMS ,AMS 210     ,Advanced Leadership-I  ,A,UG16,
AMS ,AMS 220     ,Advanced Leadership-II  ,A,UG16,
AMS ,AMS 310     ,Leadership & Management-I  ,A,UG16,
AMS ,AMS 320     ,Advanced Tactics  ,A,UG16,
AMS ,AMS 410     ,Leadership & Management-II  ,A,UG16,
AMS ,AMS 420     ,Command Management  ,A,UG16,
ANT ,ANT 105     ,Visual Anthropology  ,A,UG16,"An exploration of how cultural information is visually ""coded"" in cultural images, including such questions as: How is cultural information coded (and decoded) in both mainstream and ethnographic film? How can visual anthropology be used as a tool for ethnographic research? What effect do such production values as music, camera angle, lighting, sound effects, and lens focal length have upon our understanding and perception of film cultural content? What is the relationship between media representation and cultural reality? Whose reality? What reality?
"
,,,,,
,,,,,
