AMS 110     ,Introduction to the Army  ,FA  ,2012
AMS 210     ,Advanced Leadership-I  ,FA  ,2012
AMS 310     ,Leadership & Management-I  ,FA  ,2012
AMS 410     ,Leadership & Management-II  ,FA  ,2012
ANT 110     ,Intro to Cultural Anthropology  ,FA  ,2012
ANT 120     ,Intro to Physical Anthropology  ,FA  ,2012
ANT 246     ,Folklore/Expresv Culture Mexico  ,FA  ,2012
ANT 301     ,Qualitative Field Methods  ,FA  ,2012
ANT 304     ,History of Anthropology  ,FA  ,2012
ANT 305     ,Research Methods  ,FA  ,2012
ANT 335     ,Race and Ethnicity  ,FA  ,2012
ANT 338     ,Anthropology of American Culture  ,FA  ,2012
ANT 341     ,Medical Anthropology  ,FA  ,2012
ANT 346     ,Folklore/Expresv Culture Mexico  ,FA  ,2012
ANT 385     ,"Inkas, Mayas, Aztecs  ",FA  ,2012
ANT 400     ,Directed Study  ,FA  ,2012
ANT 451     ,Ancient Maya Culture  ,FA  ,2012
ANT 500     ,Advanced Seminar  ,FA  ,2012
ARH 260     ,Survey of Western Art-I  ,FA  ,2012
ARH 370     ,N. European Art:4-16th Centuries  ,FA  ,2012
ARH 382     ,Reflections of Vision in Art  ,FA  ,2012
ARH 399     ,Art/Architecture Washington D.C.  ,FA  ,2012
ARS 110     ,Introduction to Drawing  ,FA  ,2012
ARS 210     ,Painting & Drawing-I  ,FA  ,2012
ARS 220     ,Painting & Drawing-II  ,FA  ,2012
ARS 230     ,Ceramics-I  ,FA  ,2012
ARS 240     ,Hot Glass-I  ,FA  ,2012
ARS 320     ,Painting & Drawing-III  ,FA  ,2012
ARS 321     ,Painting & Drawing-IV  ,FA  ,2012
ARS 330     ,Ceramics-II  ,FA  ,2012
ARS 331     ,Ceramics-III  ,FA  ,2012
ARS 400     ,Directed Study  ,FA  ,2012
BIO 110     ,"Evolution, Biodiversity, Ecology  ",FA  ,2012
BIO 110L    ,BIO 110 Lab  ,FA  ,2012
BIO 210     ,Introduction to Genetics  ,FA  ,2012
BIO 210L    ,BIO 210 Lab  ,FA  ,2012
BIO 225     ,Human Anatomy & Physiology  ,FA  ,2012
BIO 305     ,Evolutionary Biology  ,FA  ,2012
BIO 310     ,Invertebrate Biology  ,FA  ,2012
BIO 325     ,Vertebrate Morphology  ,FA  ,2012
BIO 345     ,Histology  ,FA  ,2012
BIO 350L    ,Physiology Lab  ,FA  ,2012
BIO 370     ,Principles of Ecology  ,FA  ,2012
BIO 370L    ,BIO 370 Lab  ,FA  ,2012
BIO 401     ,Independent Study  ,FA  ,2012
BIO 500     ,Senior Seminar  ,FA  ,2012
BMB 210     ,Intro Cellular & Molecular Biol  ,FA  ,2012
BMB 210L    ,BMB 210 lab  ,FA  ,2012
BMB 310     ,Macromolecules  ,FA  ,2012
BMB 330     ,Molecular Genetics  ,FA  ,2012
BMB 335     ,Lab in Molecular Genetics  ,FA  ,2012
BMB 402     ,Research Participation  ,FA  ,2012
BNS 250     ,Introduction to Research  ,FA  ,2012
BNS 295     ,Physiological Psychology  ,FA  ,2012
BNS 350     ,Advanced Research Topics  ,FA  ,2012
BNS 351     ,Advanced Research Topics  ,FA  ,2012
BNS 360     ,"Drugs, Brain, and Behavior  ",FA  ,2012
BNS 390     ,Human Neuropsychology  ,FA  ,2012
CHE 117     ,Chemistry and the Modern World  ,FA  ,2012
CHE 117L    ,CHE 117 Lab  ,FA  ,2012
CHE 131     ,General Chemistry-I  ,FA  ,2012
CHE 131L    ,CHE 131 Lab  ,FA  ,2012
CHE 132     ,General Chemistry-II  ,FA  ,2012
CHE 132L    ,CHE 132 Lab  ,FA  ,2012
CHE 135     ,Accelerated General Chemistry  ,FA  ,2012
CHE 135L    ,CHE 135 Lab  ,FA  ,2012
CHE 210     ,Chemistry and Crime  ,FA  ,2012
CHE 241     ,Organic Chemistry-I  ,FA  ,2012
CHE 241L    ,CHE 241 Lab  ,FA  ,2012
CHE 242     ,Organic Chemistry-II  ,FA  ,2012
CHE 242L    ,CHE 242 Lab  ,FA  ,2012
CHE 332     ,Inorganic Chemistry  ,FA  ,2012
CHE 362     ,Quantum Chemistry & Spectroscopy  ,FA  ,2012
CHE 362L    ,CHE 362 Lab  ,FA  ,2012
CHE 401     ,Independent Study  ,FA  ,2012
CHE 405     ,Advanced Research Topics  ,FA  ,2012
CHN 110     ,Fundamentals of Chinese-I  ,FA  ,2012
CHN 210     ,Intermediate Chinese-I  ,FA  ,2012
CHN 310     ,Advanced Intermediate Chinese-I  ,FA  ,2012
CLA 110     ,Latin: Fundamentals-I  ,FA  ,2012
CLA 111     ,Introduction to Ancient Greek  ,FA  ,2012
CLA 210     ,Roman Literary Masterpieces-I  ,FA  ,2012
CLA 342     ,Ancient Greek Society & Culture  ,FA  ,2012
CRW 150     ,Fundamentals of Fiction Writing  ,FA  ,2012
CRW 250     ,Poetic Forms: History and Creative Practice ,FA  ,2012
CSC 117     ,Intro to Computer Science  ,FA  ,2012
CSC 250     ,Intro to Networking Fundamentals  ,FA  ,2012
CSC 300     ,Software Development  ,FA  ,2012
CSC 341     ,Prin of Programming Languages  ,FA  ,2012
CSC 390     ,Programming Challenges  ,FA  ,2012
CSC 400     ,Directed Study  ,FA  ,2012
CSC 402     ,Research Participation  ,FA  ,2012
DRA 111     ,Practicum  ,FA  ,2012
DRA 114     ,Beginning Modern Dance Technique  ,FA  ,2012
DRA 115     ,Intermed. Modern Dance Technique  ,FA  ,2012
DRA 117     ,Acting-I  ,FA  ,2012
